台灣頻道,#genre#
中視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8
中視新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
中視新聞,https://git.io/Jgkxz
中視經典,http://www.336699.live:1935/blockfour/4gtv-4gtv080.stream/playlist.m3u8
公視戲劇,http://www.336699.live:1935/blockfour/4gtv-4gtv042.stream/playlist.m3u8
天映經典,https://epg.pw/stream/87617e79441d46b5917a3bdca13259e4de2d9e11f828a88f1cb1c80d377f76f4.m3u8
天映經典,https://epg.pw/stream/c144b6e78dae226aaf5d3ea400c87707189b5f1ab750e1d1ca5b7e00706dd47d.m3u8
世新綜合,http://61.58.60.230:9319/live/49.m3u8
半島電視,http://www.336699.live:1935/blockfour/litv-ftv10.stream/playlist.m3u8
台視,http://23.237.10.66:16344
台視,https://epg.pw/味stream/fda76a6bb8b43c6fcc3fd9ad7aea048137b4520441112a9f0d0122b1b8945dde.ctv
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞,https://git.io/JgkxY
台灣綜藝,http://www.336699.live:1935/blocksix/4gtv-live006.stream/chunklist.m3u8
台灣戲劇,http://www.336699.live:1935/blocksix/4gtv-live005.stream/chunklist.m3u8
民視,http://23.237.10.66:16334
民視,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8
民視台灣,http://www.336699.live:1935/blockfour/4gtv-4gtv001.stream/playlist.m3u8
民視第一,http://www.336699.live:1935/blockfour/4gtv-4gtv003.stream/playlist.m3u8
民視新聞,http://123.51.230.108:18663/.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://www.336699.live:1935/blockfour/litv-ftv13.stream/playlist.m3u8
民視新聞,https://git.io/JgkAb
民視新聞,https://pull-l3-cny.douyincdn.com/live/304b8e04a437299311112b7f4902c9dd.m3u8
民視綜藝,http://www.336699.live:1935/blockfour/4gtv-4gtv004.stream/playlist.m3u8
全民最大黨,http://www.336699.live:1935/blocksix/4gtv-live076.stream/chunklist.m3u8
全球財經,http://www.336699.live:1935/blocksix/4gtv-live060.stream/chunklist.m3u8
好消息,http://www.336699.live:1935/blockfour/litv-ftv16.stream/playlist.m3u8
年代much,http://www.yshmzmc.top/gtjm.php?id=live2002
年代新聞,http://www.yshmzmc.top/gtjm.php?id=live1077
老電影,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8
幸福空間居家,http://www.336699.live:1935/blocksix/4gtv-live206.stream/chunklist.m3u8
幸福空間居家,https://git.io/JgYYF
東風37,http://123.51.230.108:18560/.m3u8
東森幼幼,http://www.yshmzmc.top/gtjm.php?id=live1008
東森財經,http://123.51.230.108:18515/.m3u8
東森財經新聞,http://www.336699.live:1935/blocksix/4gtv-live019.stream/chunklist.m3u8
東森財經新聞,https://git.io/Jgkpc
東森新聞,http://www.336699.live:1935/blocksix/4gtv-live114.stream/chunklist.m3u8
東森新聞,http://www.yshmzmc.top/gtjm.php?id=live1014
東森新聞,https://git.io/Jgkps
東森戲劇,http://123.51.230.108:18538/.m3u8
東森購物,http://www.336699.live:1935/blocksix/4gtv-live046.stream/chunklist.m3u8
東森購物2,http://www.336699.live:1935/blocksix/4gtv-live047.stream/chunklist.m3u8
采昌影劇,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
金光布袋戲,http://www.336699.live:1935/blocksix/4gtv-live144.stream/chunklist.m3u8
阿里郎,http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
客家電視,http://www.336699.live:1935/blockfour/4gtv-4gtv043.stream/playlist.m3u8
星衛娛樂,http://23.237.10.66:16359
美國之音,http://www.336699.live:1935/blockfour/litv-ftv03.stream/playlist.m3u8
原住民頻道,https://epg.pw/stream/3d0b93fe5f3ae06d96d0d4bc7931ec323ee5ef2721d880629f50a6672c2c7bb3.m3u8
時尚運動X,http://www.336699.live:1935/blockfour/4gtv-4gtv014.stream/playlist.m3u8
國會頻道1,http://61.58.60.230:9319/live/123.m3u8
國會頻道2,http://61.58.60.230:9319/live/124.m3u8
博斯高球I,http://www.336699.live:1935/blockfour/litv-longturn05.stream/playlist.m3u8
博斯無限,http://www.336699.live:1935/blockfour/litv-longturn10.stream/playlist.m3u8
博斯運動1,http://www.yshmzmc.top/gtjm.php?id=live1225
博斯運動I,http://www.336699.live:1935/blockfour/litv-longturn07.stream/playlist.m3u8
博斯網球,http://www.336699.live:1935/blockfour/litv-longturn09.stream/playlist.m3u8
壹新聞,http://www.yshmzmc.top/gtjm.php?id=live1242
智林體育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
華視新聞資訊,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8
華視新聞資訊,http://www.336699.live:1935/blockfour/4gtv-4gtv052.stream/playlist.m3u8
華視新聞資訊,https://git.io/J1zPH
